arb_id,name,also_known_as,listed_first,listed_last,country,born_year,female,attorney,academic,public_bodies,sport_bodies,associated_with,case_nums,n_cases,first_appointment,latest_appointment,delisted,delisted_age,years_listed
76,Ahmadou Traore,NA,2002,NA,MLI,1962,0,1,1,0,0,NA,NA,0,NA,NA,FALSE,NA,NA
77,Aldons Vrublevskis,NA,2002,NA,LVA,1957,0,1,0,0,0,Latvian Olympic Committee,NA,0,NA,NA,FALSE,NA,NA
78,Alfonso Picone,NA,2002,2019,ITA,1935,0,1,0,0,1,Union Internationale de Pentathlon Moderne (UIPM),"560,1612,395",3,2002-11-19,2009-01-22,TRUE,84,17
79,Alfredo Florez Plaza,NA,2002,2007,ESP,1926,0,1,0,0,1,"Spanish Olympic Committee,Spanish football fedearation,Spanish swimming federation,FIFA",NA,0,NA,NA,TRUE,81,5
80,Allen Perry Rosenberg,NA,2002,2007,USA,1931,0,1,0,0,1,USA Rowing,448,1,2003-10-02,2003-10-02,TRUE,76,5
81,André Gossin,NA,2002,2019,CHE,1958,0,1,0,0,0,NA,"1869,2056,2493",3,2009-07-03,2011-11-29,TRUE,61,17
82,Andreas Reiner,NA,2002,2010,AUT,1951,0,1,1,0,0,NA,"1102, 1146",1,2006-11-13,2006-11-13,TRUE,59,8
83,Andreas Thiel,NA,2002,2002,DEU,1960,0,1,0,0,1,German Handball Federation,NA,0,NA,NA,TRUE,42,0
84,Anita L. DeFrantz,Anita DeFrantz,2002,NA,USA,1952,1,1,0,0,1,"USOC,FISA","3630,505",2,2003-12-19,2014-12-08,FALSE,NA,NA
85,Ann Van de Velde,NA,2002,2010,BEL,1962,1,1,0,0,1,"Ten Man Firm,Belgian Baseball Federation",2014,1,2010-07-06,2010-07-06,TRUE,48,8
86,Barbara Shycoff,NA,2002,2023,USA,1963,1,1,0,0,1,USOC,370,1,2002-11-29,2002-11-29,TRUE,60,21
87,Bernhard Welten,NA,2002,NA,CHE,1966,0,1,0,0,1,"Kanzlei Welten,Swiss IOC/Anti-Doping","1468,2316,2414,3094,3742,3880,1609,1599,1579,1757,2045,2647,3776,4343,4328,4279,4679,4678,5366,5677,5920,5595,OG 18-003,OG 18-002,OG 18-001,7030, 7051,8915, 8918, 8919, 8920,508,1352,1233, 1234,1313,1317,1717,1716,1830,2174,2642,2726,3398,3665, 3666, 3667,4296,4220,4217,4135,4122,3946,4027,5242,5230,4946,5624,5585,6961,6798,7590, 7591,7007",56,2004-06-16,2022-06-23,FALSE,NA,NA
88,Björn Rosengren,NA,2002,2006,SWE,1944,0,1,0,0,1,"Swedish Boxing Federation,European Amateur Boxing Federation (EABA),Swedish Olympic Committee",NA,0,NA,NA,TRUE,62,4
89,Borhan Amrallah,NA,2002,2022,EGY,1940,0,0,0,0,0,NA,2877,1,2016-01-18,2016-01-18,TRUE,82,20
90,Boris E. Planchart Oraà,NA,2002,2002,VEN,1941,0,0,0,0,1,Venezuelan Olympic Committee,NA,0,NA,NA,TRUE,61,0
91,Carlos Arthur Nuzman,Carlos A. Nuzman,2002,2017,BRA,1942,0,1,0,0,1,"IOC,Brazilian NOC",560,1,2005-02-07,2005-02-07,TRUE,75,15
92,Carole Barbey,NA,2002,2019,CHE,1946,1,0,0,1,1,WCF,"1373,1572, 1632, 1659,1983,2357,4223,3071",6,2008-05-09,2016-11-10,TRUE,73,17
93,Chris Georghiades,NA,2002,NA,CYP,1953,0,1,0,0,1,"Chrysses Demetriades,Cyprus Football Association","555,1142,1893,2874,940,931,893,1141,1137,1019,1407,1404,1674,1674-O,2316,2637,3039,2852,3578,7369",20,2004-07-06,2021-09-07,FALSE,NA,NA
94,Conny Jörneklint,NA,2002,2019,SWE,1949,0,0,0,1,1,Swedish Athletic Association,"2209,2847,4648,908,3549,3548,1057,1415,1332,1565,2298,2277,2315,2357,2979,2791,2701,3227,3437,3347,3630,3668,3561, 3614,3828,3915,4834,4502",27,2005-11-25,2017-09-29,TRUE,70,17
95,Corinne Schmidhauser,NA,2002,2010,CHE,1964,1,1,0,1,0,NA,"976, 986,1130,1095,1395,1983",5,2006-04-21,2010-07-21,TRUE,46,8
96,David A.R. Williams,David Williams,2002,2022,NZL,1941,0,1,0,0,0,NA,"1695,725,1664,1168,1394,1318,1718, 1719, 1720, 1721, 1722, 1723, 1724,3057",8,2005-07-20,2014-01-22,TRUE,81,20
